Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
Upper Sunnyside Crag,Icebox Canyon,2,10.8,0.8182,694,2.4,36.1447,-115.4974,,,,,,,2,0,5.9,5.4,116
Cauldron Wall,Icebox Canyon,1,5.5,0.8182,699,2.5,36.1423,-115.4914,,,,,,,1,0,5.9,5.5,135
Tiki Cliff,Icebox Canyon,2,11.9,0.8182,700,2.95,36.1431,-115.491,,,,,,,2,0,5.8,5.95,113
Necromancer Wall,Icebox Canyon,4,23.9,0.8182,706,2.975,36.144,-115.4907,,,,,,,4,0,5.9,5.98,76
Upper Willow Spring,Willow Spring,1,5.0,0.8269,724,2.0,36.1579,-115.5,,,,,,,1,0,5.7,5.0,138
Hidden Falls Wall,Willow Spring,8,39.9,0.8277,725,2.1125,36.1558,-115.4976,0.0,1.0,0.0,2.0,0.0,0.0,4,3,5.9,4.99,45
Graduate Cliff,Willow Spring,3,15.1,0.828,733,2.7,36.1577,-115.4994,,,,,,,3,0,5.9+,5.03,102
Lost Creek Lower Tier,Willow Spring,8,40.6,0.8283,736,2.2,36.1562,-115.4979,,,,,,,8,0,5.8+,5.08,44
Mossy Ledges Area,Willow Spring,13,69.8,0.8283,744,2.3692,36.1592,-115.5009,0.0,0.0,1.0,0.0,0.0,0.0,12,1,5.8+,5.37,18
Mother's Crag,Willow Spring,1,5.2,0.8285,757,2.2,36.1626,-115.5042,,,,,,,0,0,,5.2,137
Willow Springs South,Willow Spring,17,84.7,0.8286,758,2.2176,36.1547,-115.4962,,,,,,,17,0,5.7+,4.98,13
The Case Face,Willow Spring,5,29.0,0.8298,775,2.6,36.1582,-115.4994,1.0,0.0,1.0,0.0,0.0,0.0,3,2,5.8,5.8,64
Smitty's Caterpillar,Willow Spring,2,8.0,0.831,780,1.0,36.161,-115.5017,,,,,,,2,0,5.8+,4.0,128
Ragged Edges Area,Willow Spring,20,97.6,0.832,782,2.18,36.1576,-115.498,,,,,,,20,0,5.8,4.88,7
Children's Crag,Willow Spring,9,43.8,0.8341,802,2.0889,36.1609,-115.5007,,,,,,,9,0,5.8+,4.87,38
Outhouse Wall,Willow Spring,8,36.0,0.8432,811,1.625,36.1634,-115.5001,,,,,,,7,0,5.9+,4.5,52
Gold Digger Slab,Willow Spring,1,5.0,0.8439,819,2.0,36.1574,-115.4939,,,,,,,1,0,5.7,5.0,138
Lost And Found Crag,Willow Spring,2,6.0,0.8439,820,-1.0,36.1574,-115.4939,,,,,,,2,0,5.8+,3.0,134
The Owl,Willow Spring,1,4.0,0.9091,822,1.0,36.1604,-115.4905,,,,,,,1,0,5.10+,4.0,142
Common Time,Wake Up Wall Area,1,4.0,0.9406,823,2.0,36.1672,-115.4549,0.0,0.0,0.0,0.0,1.0,0.0,0,1,,4.0,142
The Walrus,Wake Up Wall Area,4,23.6,0.9408,824,2.4,36.1682,-115.455,0.0,1.0,1.0,2.0,0.0,0.0,0,4,,5.9,78
The COVID Crag,Wake Up Wall Area,3,10.0,0.9412,828,1.3333,36.1691,-115.455,0.0,2.0,0.0,0.0,1.0,0.0,0,3,,3.33,119
The Numbers Crag,Wake Up Wall Area,3,12.3,0.9416,831,2.1,36.1667,-115.4543,0.0,3.0,0.0,0.0,0.0,0.0,0,3,,4.1,111
The Asylum,Wake Up Wall Area,2,8.5,0.9423,834,1.25,36.1656,-115.4537,0.0,0.0,0.0,1.0,1.0,0.0,0,2,,4.25,125
Sonic Youth Upper Tier,Wake Up Wall Area,2,11.2,0.9434,836,2.6,36.1658,-115.4533,,,,,,,2,0,5.9+,5.6,114
The Wake-Up Wall,Wake Up Wall Area,24,131.3,0.9434,838,2.3458,36.1672,-115.4536,1.0,6.0,3.0,9.0,2.0,0.0,3,21,5.7,5.47,1
Sonic Youth Wall,Wake Up Wall Area,7,31.4,0.9435,862,2.4857,36.1659,-115.4532,0.0,5.0,0.0,0.0,2.0,0.0,0,7,,4.49,61
Vaya Con Queso Cliff,The Trophy Area,1,6.5,0.9439,869,2.5,36.1721,-115.4545,0.0,0.0,0.0,1.0,0.0,0.0,0,1,,6.5,133
Broast and Toast Wall,Wake Up Wall Area,2,8.3,0.9442,870,2.15,36.1664,-115.453,0.0,2.0,0.0,0.0,0.0,0.0,0,2,,4.15,127
The Grindhouse,Wake Up Wall Area,6,25.6,0.9446,872,1.9333,36.1648,-115.4525,0.0,5.0,0.0,1.0,0.0,0.0,0,6,,4.27,68
